;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
10;cлепых;748;17;25;59;61;45;28;7;56;9;;9;2;;5;5;;11;10;9;2;8;52;4;;46;8;;53;3;;48;4;;17;39;41;28;32;2;;;;2;1;402;34;351;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1691;204;212;212;196;25;65;41;24;7;2;23;5;1;21;5;;47;50;41;38;35;72;3;;65;6;3;74;3;;66;4;1;16;56;56;7;5;;;;;;;;;;;
12;В них обучающихся, чел.;18967;2337;2513;2517;2330;307;642;398;280;82;23;276;63;10;250;59;;527;551;465;396;342;803;39;;758;71;41;822;25;;689;38;17;174;549;502;60;11;;;;;;;13596;46;1614;;44
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1339;62;67;90;98;21;69;41;28;2;;28;;;23;;;60;77;66;80;89;49;1;;51;;;50;;;55;;;17;48;43;53;54;4;;;8;3;2;;;;;
14;В них обучающихся, чел.;8540;486;536;685;744;96;375;271;172;14;;182;;;153;;;385;428;376;386;408;391;7;;407;;;366;;;422;;;133;259;328;242;254;10;;;11;5;8;5735;256;3150;;
15;Число классов для обучающихся с задержкой психического развития, ед.;8647;356;564;931;993;56;313;321;70;16;4;55;12;3;51;21;6;929;996;1002;960;937;6;;2;4;;;6;2;;10;;;10;;;4;7;;;;;;;;;;;
16;В них обучающихся, чел.;92828;3364;5685;10290;11152;534;3043;3355;671;171;44;506;129;37;509;233;63;10204;11021;11068;10354;9981;54;;23;30;;;32;14;;121;;;118;;;10;12;;;;;;;58898;158;3983;4;59
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;153;17;8;9;7;14;46;18;2;1;1;2;;;1;;;11;3;4;3;1;1;;;;;;;;;1;;;;;;1;1;;;;;1;;;;;;
18;В них обучающихся, чел.;552;102;33;20;19;40;190;70;4;4;1;7;;;4;;;24;10;12;3;1;4;;;;;;;;;1;;;;;;1;1;;;;;1;;337;1;288;;
19;Число классов для обучающихся со сложными дефектами, ед.;288;14;14;38;13;15;7;11;14;2;2;10;2;1;12;3;4;14;13;9;8;7;4;6;1;13;2;;11;1;;12;1;1;5;7;9;;2;;;;;;;;;;;
20;В них обучающихся, чел.;1602;69;64;183;61;98;33;55;72;11;19;54;14;5;68;19;22;96;92;67;51;53;13;35;5;74;9;;65;4;;68;6;5;26;34;41;;11;;;;;;;1236;24;945;;
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями)), ед.;916;46;62;74;71;3;10;7;2;;8;2;;;4;;;72;93;91;107;117;2;;;4;;;3;;;5;;;13;6;1;48;47;6;;;8;4;;;;;;
22;В них обучающихся, чел.;5634;320;430;567;517;24;114;48;6;;93;6;;;15;;;536;575;612;662;663;5;;;4;;;3;;;5;;;13;6;4;207;181;6;;;8;4;;3004;34;1058;;24
23;Итого классов (сумма стр. 01,03, 05, 08, 11, 13, 15, 17, 19, 21);17437;845;1075;1588;1620;298;664;524;346;83;31;273;62;25;198;118;118;1228;1329;1304;1291;1271;348;51;23;367;47;11;392;40;12;394;50;32;169;342;340;222;221;22;3;2;27;17;14;5570;53;1256;;26
24;В них обучающихся (сумма стр. 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22);159433;8180;10727;16375;16929;2172;5391;4691;2586;619;259;1985;465;172;1546;861;642;12518;13365;13271;12530;12067;2793;365;137;2943;342;90;3027;275;69;3014;351;205;1143;2390;2439;1114;1038;96;24;14;85;58;70;98667;1104;22606;29;181
25;из них (из строки 24):       воспитанники (без приходящих учащихся);23074;951;1125;1796;1664;616;997;806;815;246;75;636;228;76;503;365;261;903;1084;902;966;808;858;155;38;975;140;24;1004;133;26;922;178;76;380;841;856;278;256;38;4;;30;16;23;13045;268;6337;;
26;девочки;54923;2690;3639;5409;5740;794;1715;1448;959;202;97;770;176;64;573;326;224;4173;4609;4353;4299;4091;996;152;58;1065;110;24;1108;101;28;1160;150;95;419;955;977;529;471;43;12;6;42;27;44;30685;337;6990;3;28
27;лица с ограниченными возможностями здоровья;155902;7855;10395;16027;16553;2166;5384;4666;2606;619;235;1997;465;172;1536;861;639;12158;13005;12852;12175;11675;2791;360;129;2939;336;90;3026;275;63;3007;339;192;1130;2377;2422;1048;990;96;24;14;85;58;70;;;;;
28;из них (из стр.27):             инвалиды;1743;59;49;64;61;30;29;15;32;1;9;6;3;8;7;;18;18;35;26;26;58;38;;5;45;;;53;;2;58;7;17;60;93;226;145;345;3;3;6;31;22;30;;;;;
29;дети-инвалиды;37337;1665;1714;2580;2288;1168;2038;1246;1455;347;177;1177;283;116;825;546;540;1563;1520;1465;1426;1287;1389;275;86;1554;249;56;1563;222;60;1582;282;157;620;1347;1233;654;388;65;18;5;41;33;32;;;;;
30;инвалиды (кроме учтенных в строке 28);14;;;1;;;;1;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;2;6;1;;;;;;;;;;;;
31;дети-инвалиды (кроме учтенных в строке 29);565;26;23;37;27;6;5;;1;;;;;;;;3;58;55;57;52;62;;5;7;4;6;;;;6;;13;13;2;7;8;42;40;;;;;;;;;;;
32;дети-сироты и дети, оставшиеся без попечения       родителей;4192;84;145;314;367;17;87;98;35;14;4;42;17;6;15;14;10;324;428;462;538;640;54;5;2;55;1;;75;6;1;83;4;1;31;71;108;14;15;2;;;;1;2;2242;10;342;1;3
33;из них воспитанники (без приходящих учащихся);1303;14;26;62;78;10;31;21;13;5;2;24;4;1;8;5;5;71;113;150;189;208;32;4;2;30;1;;35;3;1;40;2;1;17;36;44;6;8;;;;;;1;653;9;155;;
