;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
10;cлепых;65;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;28;;;;33;;62;62;;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;В них обучающихся, чел.;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;В них обучающихся, чел.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Число классов для обучающихся с задержкой психического развития, ед.;35;4;3;4;4;1;;;;;;;;;;;;2;1;3;2;2;;;;;;;;;;;9;;;;;;;;;;;;;;;;;
16;В них обучающихся, чел.;196;32;46;19;33;5;;;;;;;;;;;;1;3;20;6;31;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;В них обучающихся, чел.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Число классов для обучающихся со сложными дефектами, ед.;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;
20;В них обучающихся, чел.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями)), ед.;12;1;3;1;1;;;;;;;;;;;;;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;В них обучающихся, чел.;173;21;23;22;30;;;;;;;;;;;;;19;12;13;15;9;;9;;;;;;;;;;;;;;;;;;;;;;1;;1;;
23;Итого классов (сумма стр. 01,03, 05, 08, 11, 13, 15, 17, 19, 21);160;29;7;6;5;2;1;1;1;0;0;1;0;0;2;1;0;5;3;6;5;7;7;0;0;5;0;0;5;0;0;6;9;0;3;3;2;5;5;4;3;3;3;3;12;7;;;;
24;В них обучающихся (сумма стр. 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22);842;53;70;50;63;15;1;1;12;0;0;1;0;0;16;7;0;23;17;39;24;51;37;18;0;26;0;9;28;0;0;31;0;0;27;17;2;26;22;46;24;17;14;44;11;319;154;141;;
25;из них (из строки 24):       воспитанники (без приходящих учащихся);69;;;;;;;;;;;;;;;;;;;;;;7;;;9;;;5;;;13;;;11;7;;5;12;;;;;;;;;;;
26;девочки;217;11;2;5;8;3;;1;;;;;;;;;;7;9;17;11;17;9;;;5;;;7;;;7;;;6;5;1;12;9;17;8;6;4;23;7;90;74;7;;
27;лица с ограниченными возможностями здоровья;388;;3;6;7;5;1;1;;;;1;;;;;;;2;16;4;42;27;;;14;;;11;;;20;;;16;17;2;26;22;37;24;17;12;44;11;;;;;
28;из них (из стр.27):             инвалиды;155;;;;;;;;;;;;;;;;;;1;4;;6;1;;;;;;1;;;;;;;;;3;2;35;21;17;11;42;11;;;;;
29;дети-инвалиды;153;;2;;;;1;1;;;;1;;;;;;;1;1;1;3;25;;;14;;;10;;;19;;;15;16;1;19;18;2;2;;;1;;;;;;
30;инвалиды (кроме учтенных в строке 28);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;дети-инвалиды (кроме учтенных в строке 29);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;дети-сироты и дети, оставшиеся без попечения       родителей;14;;;;;;;;;;;;;;;;;;;;1;;4;;;2;;;;;;1;;;2;3;;;1;;;;;;;;;;;
33;из них воспитанники (без приходящих учащихся);11;;;;;;;;;;;;;;;;;;;;;;4;;;2;;;;;;1;;;2;1;;;1;;;;;;;;;;;
