;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
10;cлепых;875;18;25;31;58;36;35;12;40;27;3;37;15;;5;6;5;26;14;16;8;12;56;7;;65;4;;56;7;;47;2;;15;46;40;39;37;11;;;6;;8;450;26;357;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1739;202;197;203;205;36;61;48;62;2;5;31;2;;29;2;1;46;44;42;34;28;72;3;;70;4;3;74;1;;74;3;1;16;65;68;3;2;;;;;;;;;;;
12;В них обучающихся, чел.;19460;2286;2288;2422;2402;400;622;504;675;28;50;321;22;;312;15;8;513;453;466;346;304;832;38;;800;55;39;849;11;;836;37;15;166;656;669;10;10;;;;;;;13769;23;1526;;2
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1569;70;78;94;117;17;73;66;51;4;2;35;2;;31;4;;64;76;91;76;102;60;;;59;;;62;;;65;;;16;49;50;77;56;5;;;10;6;1;;;;;
14;В них обучающихся, чел.;8080;445;453;498;661;53;384;391;312;23;5;212;11;;199;4;;378;413;391;364;406;327;;;340;;;364;;;330;;;75;288;288;231;202;10;;;12;6;4;5997;206;3403;;1
15;Число классов для обучающихся с задержкой психического развития, ед.;8864;304;484;654;980;71;359;376;355;42;25;91;4;3;77;6;5;905;949;1023;996;955;22;3;;18;;;33;;;27;;;13;25;15;26;16;2;;;;;;;;;;
16;В них обучающихся, чел.;93294;2812;4721;6850;10938;671;3508;3954;3765;434;258;956;35;40;797;61;62;9796;10499;11282;11064;10308;70;16;;51;;;47;;;78;;;129;25;15;28;19;5;;;;;;60664;118;4684;3;23
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;235;24;10;10;9;30;53;39;20;;1;6;;;1;;1;7;9;2;3;2;3;;;1;;;;;;2;;;;1;;;1;;;;;;;;;;;
18;В них обучающихся, чел.;937;109;24;40;20;162;236;175;64;;1;15;;;6;;1;19;20;9;11;2;11;;;5;;;;;;5;;;;1;;;1;;;;;;;683;1;555;;
19;Число классов для обучающихся со сложными дефектами, ед.;278;10;12;13;32;6;6;4;21;1;2;13;2;1;8;4;4;12;11;20;11;12;10;1;1;14;1;;16;;;9;1;;9;6;4;1;;;;;;;;;;;;
20;В них обучающихся, чел.;1522;69;69;74;154;34;34;29;110;4;6;78;14;5;47;25;23;53;67;102;59;47;65;6;5;73;3;;90;;;48;4;;59;36;23;7;;;;;;;;1108;9;879;;12
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями)), ед.;1055;41;50;54;70;2;16;7;5;1;1;8;;;4;;;87;94;104;119;151;2;;;6;;;8;;;9;;;7;16;8;75;81;14;;;10;5;;;;;;
22;В них обучающихся, чел.;4698;302;299;362;414;10;127;58;51;7;5;37;;;37;;;496;462;481;547;560;2;;;6;;;8;;;9;;;7;16;8;171;187;14;;;10;5;;2606;33;969;;3
23;Итого классов (сумма стр. 01,03, 05, 08, 11, 13, 15, 17, 19, 21);18178;775;964;1169;1631;342;723;630;756;100;57;419;53;27;258;125;127;1205;1269;1370;1319;1326;364;53;20;412;35;19;448;34;16;451;38;33;181;373;404;291;270;29;4;1;32;17;8;6363;64;1333;;14
24;В них обучающихся (сумма стр. 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22);159361;7300;9185;11628;16584;2493;5881;5687;6557;809;414;3193;430;182;2062;786;803;11928;12568;13344;13018;12133;2736;344;130;3009;261;132;3142;214;100;3096;261;216;1173;2498;2756;1030;1004;81;34;6;73;34;46;104049;950;23399;66;319
25;из них (из строки 24):       воспитанники (без приходящих учащихся);23182;744;792;999;1506;775;1065;858;1451;257;93;1059;213;75;696;427;401;828;844;966;822;794;952;167;67;1024;106;27;1052;106;28;1019;126;88;422;768;909;308;256;27;7;;22;13;23;13294;243;5372;24;27
26;девочки;54825;2401;3014;4000;5495;869;1838;1771;2234;265;150;1140;158;80;757;297;329;4153;4233;4487;4294;4194;1029;151;50;1078;102;45;1150;80;42;1140;98;97;471;943;1100;469;486;38;22;4;35;16;20;31468;327;7129;20;51
27;лица с ограниченными возможностями здоровья;157198;7126;8989;11414;16370;2493;5871;5634;6544;809;414;3165;430;182;2062;786;803;11662;12306;13146;12785;11922;2736;344;130;3009;261;132;3142;214;100;3096;261;216;1166;2498;2747;979;980;81;34;6;73;34;46;;;;;
28;из них (из стр.27):             инвалиды;1577;29;46;27;36;30;25;28;31;;2;34;;;13;1;2;26;18;34;22;49;36;1;;35;;3;43;2;;65;8;12;56;81;246;132;346;1;13;5;17;18;4;;;;;
29;дети-инвалиды;38000;1483;1389;1575;2398;1375;2133;1633;2153;313;134;1657;331;142;997;612;653;1299;1434;1437;1354;1285;1353;269;111;1631;198;97;1692;187;99;1618;179;179;702;1317;1360;600;435;71;17;1;45;16;36;;;;;
30;инвалиды (кроме учтенных в строке 28);1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;дети-инвалиды (кроме учтенных в строке 29);393;26;20;13;43;;12;1;3;;;1;;;;;;35;41;33;40;29;7;;;7;;;10;;;6;;;9;;14;26;17;;;;;;;;;;;
32;дети-сироты и дети, оставшиеся без попечения       родителей;4216;91;132;190;373;14;108;91;117;26;10;53;20;5;66;17;25;323;409;505;550;633;48;2;2;66;1;;58;2;1;71;9;4;38;49;77;15;11;2;;;1;1;;2266;15;291;;40
33;из них воспитанники (без приходящих учащихся);1127;16;21;29;73;7;20;23;29;12;1;17;4;1;25;12;10;54;87;125;148;198;18;2;1;31;1;;32;1;1;29;6;2;21;18;37;8;6;;;;1;;;567;6;99;;27
